Filepath,Label
..\Fruits_Vegetables\train\spinach\Image_35.jpg,spinach
..\Fruits_Vegetables\train\pear\Image_46.jpg,pear
..\Fruits_Vegetables\train\spinach\Image_1.jpg,spinach
..\Fruits_Vegetables\train\carrot\Image_81.jpg,carrot
..\Fruits_Vegetables\train\raddish\Image_18.jpg,raddish
..\Fruits_Vegetables\train\lemon\Image_4.jpg,lemon
..\Fruits_Vegetables\train\sweetcorn\Image_43.jpg,sweetcorn
..\Fruits_Vegetables\train\ginger\Image_16.jpg,ginger
..\Fruits_Vegetables\train\potato\Image_62.jpg,potato
..\Fruits_Vegetables\train\potato\Image_63.jpg,potato
..\Fruits_Vegetables\train\soy beans\Image_40.jpg,soy beans
..\Fruits_Vegetables\train\tomato\Image_53.jpg,tomato
..\Fruits_Vegetables\train\mango\Image_38.jpg,mango
..\Fruits_Vegetables\train\garlic\Image_62.jpg,garlic
..\Fruits_Vegetables\train\ginger\Image_63.jpg,ginger
..\Fruits_Vegetables\train\capsicum\Image_90.jpg,capsicum
..\Fruits_Vegetables\train\lemon\Image_27.jpg,lemon
..\Fruits_Vegetables\train\turnip\Image_5.jpg,turnip
..\Fruits_Vegetables\train\tomato\Image_23.jpg,tomato
..\Fruits_Vegetables\train\chilli pepper\Image_98.jpg,chilli pepper
..\Fruits_Vegetables\train\lettuce\Image_40.jpg,lettuce
..\Fruits_Vegetables\train\corn\Image_40.jpg,corn
..\Fruits_Vegetables\train\pineapple\Image_40.jpg,pineapple
..\Fruits_Vegetables\train\grapes\Image_64.jpg,grapes
..\Fruits_Vegetables\train\tomato\Image_4.jpg,tomato
..\Fruits_Vegetables\train\raddish\Image_55.jpg,raddish
..\Fruits_Vegetables\train\beetroot\Image_15.jpg,beetroot
..\Fruits_Vegetables\train\beetroot\Image_62.jpg,beetroot
..\Fruits_Vegetables\train\peas\Image_2.jpg,peas
..\Fruits_Vegetables\train\banana\Image_49.jpg,banana
..\Fruits_Vegetables\train\turnip\Image_72.JPG,turnip
..\Fruits_Vegetables\train\turnip\Image_87.jpg,turnip
..\Fruits_Vegetables\train\mango\Image_87.jpg,mango
..\Fruits_Vegetables\train\corn\Image_60.jpg,corn
..\Fruits_Vegetables\train\pomegranate\Image_99.jpg,pomegranate
..\Fruits_Vegetables\train\soy beans\Image_67.jpg,soy beans
..\Fruits_Vegetables\train\sweetcorn\Image_2.jpg,sweetcorn
..\Fruits_Vegetables\train\grapes\Image_9.jpg,grapes
..\Fruits_Vegetables\train\pear\Image_50.jpg,pear
..\Fruits_Vegetables\train\capsicum\Image_51.jpg,capsicum
..\Fruits_Vegetables\train\banana\Image_45.jpg,banana
..\Fruits_Vegetables\train\lettuce\Image_4.jpg,lettuce
..\Fruits_Vegetables\train\chilli pepper\Image_96.jpg,chilli pepper
..\Fruits_Vegetables\train\kiwi\Image_1.jpg,kiwi
..\Fruits_Vegetables\train\garlic\Image_47.JPG,garlic
..\Fruits_Vegetables\train\jalepeno\Image_47.jpg,jalepeno
..\Fruits_Vegetables\train\chilli pepper\Image_29.jpg,chilli pepper
..\Fruits_Vegetables\train\orange\Image_23.jpg,orange
..\Fruits_Vegetables\train\onion\Image_42.JPG,onion
..\Fruits_Vegetables\train\cabbage\Image_3.jpg,cabbage
..\Fruits_Vegetables\train\soy beans\Image_23.jpg,soy beans
..\Fruits_Vegetables\train\ginger\Image_22.jpg,ginger
..\Fruits_Vegetables\train\bell pepper\Image_32.JPG,bell pepper
..\Fruits_Vegetables\train\eggplant\Image_43.jpg,eggplant
..\Fruits_Vegetables\train\sweetcorn\Image_89.jpg,sweetcorn
..\Fruits_Vegetables\train\turnip\Image_61.jpg,turnip
..\Fruits_Vegetables\train\pomegranate\Image_36.jpg,pomegranate
..\Fruits_Vegetables\train\watermelon\Image_67.jpg,watermelon
..\Fruits_Vegetables\train\corn\Image_37.jpg,corn
